Child Commit Recent Date,Parent,Hash,Deleted Tests Filepath,Deleted Tests,Deleted Tests Location,Deleted Tests With Whole File,Total Deleted Tests,Total Deleted Tests With Whole File
2020-08-23 11:33:17,f4cdb3bf642b864fcc5eea7ca206a418f7b7d74a,['e5bf0b3f82407e1589a4952e3b7fe2a93d583345'],['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ParserCornersTest.java'],"['testMultipleExceptionCatchingJava7', 'testGitHubBug257NonExistingCast', 'stringConcatentationShouldNotBeCast']","{'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ParserCornersTest.java': ['testMultipleExceptionCatchingJava7', 'testGitHubBug257NonExistingCast', 'stringConcatentationShouldNotBeCast']}","{'Total File': 0, 'Total Tests': 0, 'Files': []}",3,0
2020-08-23 12:17:05,c6536db0379500953c443284964528d431662bbc,['226cb0f74afc46f4366797f76c2961843bd29022'],['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/typeresolution/TypeHelperTest.java'],"['testIsAFallback', 'testIsAFallbackEnum', 'testIsAFallbackAnnotation', 'testIsAFallbackAnnotationSimpleNameImport']","{'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/typeresolution/TypeHelperTest.java': ['testIsAFallback', 'testIsAFallbackEnum', 'testIsAFallbackAnnotation', 'testIsAFallbackAnnotationSimpleNameImport']}","{'Total File': 1, 'Total Tests': 4, 'Files': ['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/typeresolution/TypeHelperTest.java']}",4,4
2020-08-25 08:18:19,285e7f2e947de7d0177c475f5960ecc7836bda79,['7a456e5b935242acaf16619b4ae8e9a12e4e52f6'],['pmd-core/src/test/java/net/sourceforge/pmd/RuleContextTest.java'],"['testAttributes', 'testSharedAttributes']","{'pmd-core/src/test/java/net/sourceforge/pmd/RuleContextTest.java': ['testAttributes', 'testSharedAttributes']}","{'Total File': 0, 'Total Tests': 0, 'Files': []}",2,0
2020-08-31 01:34:13,08b19dbcdde5d6258515cf2620a855e7775d46ef,['dafe49f84ab9f76839c14a2ee9b904a4a309fb1b'],['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/rule/JavaRuleViolationFactoryTest.java'],['messageWithSingleBrace'],{'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/rule/JavaRuleViolationFactoryTest.java': ['messageWithSingleBrace']},"{'Total File': 1, 'Total Tests': 1, 'Files': ['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/rule/JavaRuleViolationFactoryTest.java']}",1,1
2020-08-31 01:34:14,dafe49f84ab9f76839c14a2ee9b904a4a309fb1b,['387555b4a1e3f440a04d878d9fe1fc5a5bd64c70'],['pmd-core/src/test/java/net/sourceforge/pmd/processor/MultiThreadProcessorTest.java'],['testRulesDysnfunctionalLog'],{'pmd-core/src/test/java/net/sourceforge/pmd/processor/MultiThreadProcessorTest.java': ['testRulesDysnfunctionalLog']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2020-08-31 01:34:14,387555b4a1e3f440a04d878d9fe1fc5a5bd64c70,['c66b3e8fa9f875cb63c25a12e88ae88b898e10a7'],['pmd-core/src/test/java/net/sourceforge/pmd/RuleContextTest.java'],['testReport'],{'pmd-core/src/test/java/net/sourceforge/pmd/RuleContextTest.java': ['testReport']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2020-08-31 01:34:14,e7e6793eb343fdd24f064a426b5a412ca5fb4b8c,['094ce26227e7f064dc7b462ce952b41f3bc8cf5e'],['pmd-core/src/test/java/net/sourceforge/pmd/RuleContextTest.java'],"['testSourceCodeFilename', 'testSourceCodeFile']","{'pmd-core/src/test/java/net/sourceforge/pmd/RuleContextTest.java': ['testSourceCodeFilename', 'testSourceCodeFile']}","{'Total File': 0, 'Total Tests': 0, 'Files': []}",2,0
2020-08-31 01:34:25,97f90cc3fcd93575c6cfc86db075fe360503d7c4,['7af8ff452796f324df9f67fe023d1d2092889b80'],['pmd-core/src/test/java/net/sourceforge/pmd/RuleSetTest.java'],['ruleExceptionShouldBeThrownIfNotIgnored'],{'pmd-core/src/test/java/net/sourceforge/pmd/RuleSetTest.java': ['ruleExceptionShouldBeThrownIfNotIgnored']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2020-09-14 11:13:42,35481bda4b59b2b032216cb92f94959a8742aeef,['6735b61c8f4b6acd407a4e846c1b8ae9972fea90'],['pmd-apex/src/test/java/net/sourceforge/pmd/lang/apex/metrics/ApexProjectMirrorTest.java'],"['memoizationTest', 'forceMemoizationTest']","{'pmd-apex/src/test/java/net/sourceforge/pmd/lang/apex/metrics/ApexProjectMirrorTest.java': ['memoizationTest', 'forceMemoizationTest']}","{'Total File': 1, 'Total Tests': 2, 'Files': ['pmd-apex/src/test/java/net/sourceforge/pmd/lang/apex/metrics/ApexProjectMirrorTest.java']}",2,2
2020-09-17 15:28:59,7d880a029040b261acff407fbd65901b9d3aba6b,['e89e35c261e9f8249a50ffc68ec7c0db78578476'],['pmd-core/src/test/java/net/sourceforge/pmd/util/document/MutableTextDocumentTest.java'],['insertAtStartOfTheFileShouldSucceed'],{'pmd-core/src/test/java/net/sourceforge/pmd/util/document/MutableTextDocumentTest.java': ['insertAtStartOfTheFileShouldSucceed']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2020-09-17 15:28:59,d5d30dcae758f71bc3b487d31776f3d9a93664ed,['1d7f9641262b97bd38c2be9742120b937d6c2f87'],['pmd-core/src/test/java/net/sourceforge/pmd/document/DocumentOperationsApplierForNonOverlappingRegionsWithDocumentFileTest.java'],"['insertAtStartOfTheDocumentShouldSucceed', 'removeTokenShouldSucceed', 'insertAndRemoveTokensShouldSucceed', 'insertAndDeleteVariousTokensShouldSucceed', 'replaceATokenShouldSucceed', 'replaceVariousTokensShouldSucceed', 'insertDeleteAndReplaceVariousTokensShouldSucceed']","{'pmd-core/src/test/java/net/sourceforge/pmd/document/DocumentOperationsApplierForNonOverlappingRegionsWithDocumentFileTest.java': ['insertAtStartOfTheDocumentShouldSucceed', 'removeTokenShouldSucceed', 'insertAndRemoveTokensShouldSucceed', 'insertAndDeleteVariousTokensShouldSucceed', 'replaceATokenShouldSucceed', 'replaceVariousTokensShouldSucceed', 'insertDeleteAndReplaceVariousTokensShouldSucceed']}","{'Total File': 1, 'Total Tests': 7, 'Files': ['pmd-core/src/test/java/net/sourceforge/pmd/document/DocumentOperationsApplierForNonOverlappingRegionsWithDocumentFileTest.java']}",7,7
2020-09-17 15:29:00,8174e464a25ec2a0b7f9f33d4e32b79b65f1a9a5,['44c9140f6c166ab813158af17ea7248498160a65'],['pmd-core/src/test/java/net/sourceforge/pmd/util/document/TextDocumentTest.java'],['testRegionsRoundTrip'],{'pmd-core/src/test/java/net/sourceforge/pmd/util/document/TextDocumentTest.java': ['testRegionsRoundTrip']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2020-09-17 15:29:01,b958b129e4626657cb378743d23a8cf053ae7bca,['9ca01cdb69025cbbca32cb512d39c698ed82d4fe'],['pmd-core/src/test/java/net/sourceforge/pmd/util/document/TextEditorTest.java'],['replaceVariousTokensShouldSucceed'],{'pmd-core/src/test/java/net/sourceforge/pmd/util/document/TextEditorTest.java': ['replaceVariousTokensShouldSucceed']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
